Gene	Set	Ensembl Gene ID	Description	Chromosome Name	Band	Gene Start (bp)	Gene End (bp)							
EDIL3	Stromal141_UP	ENSG00000164176	EGF-like repeats and discoidin I-like domains 3 [Source:HGNC Symbol;Acc:3173]	5	q14.3	83236373	83680611							
DDR2	Stromal141_UP	ENSG00000162733	discoidin domain receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:2731]	1	q23.3	162601163	162750237							
FCGR2B	Stromal141_UP	ENSG00000072694	"Fc fragment of IgG, low affinity IIb, receptor (CD32) [Source:HGNC Symbol;Acc:3618]"	1	q23.3	161551101	161648444							
LPPR4	Stromal141_UP	ENSG00000117600	Lipid phosphate phosphatase-related protein type 4 [Source:UniProtKB/Swiss-Prot;Acc:Q7Z2D5]	1	p21.2	"99,729,509"	"99,775,146"							
COL15A1	Stromal141_UP	ENSG00000204291	"collagen, type XV, alpha 1 [Source:HGNC Symbol;Acc:2192]"	9	q22.33	101705461	101833069							
AOC3	Stromal141_UP	ENSG00000131471	"amine oxidase, copper containing 3 (vascular adhesion protein 1) [Source:HGNC Symbol;Acc:550]"	17	q21.31	41003201	41010138							
ITIH3	Stromal141_UP	ENSG00000162267	inter-alpha (globulin) inhibitor H3 [Source:HGNC Symbol;Acc:6168]	3	p21.1	52828784	52843025							
FMO1	Stromal141_UP	ENSG00000010932	flavin containing monooxygenase 1 [Source:HGNC Symbol;Acc:3769]	1	q24.3	171217638	171255117							
PRKG1	Stromal141_UP	ENSG00000185532	"protein kinase, cGMP-dependent, type I [Source:HGNC Symbol;Acc:9414]"	10	q11.23	52750945	54058110							
PLXDC1	Stromal141_UP	ENSG00000161381	plexin domain containing 1 [Source:HGNC Symbol;Acc:20945]	17	q12	37219556	37309485							
VSIG4	Stromal141_UP	ENSG00000155659	V-set and immunoglobulin domain containing 4 [Source:HGNC Symbol;Acc:17032]	X	q12	65241580	65259967							
COL6A3	Stromal141_UP	ENSG00000163359	"collagen, type VI, alpha 3 [Source:HGNC Symbol;Acc:2213]"	2	q37.3	238232646	238323018							
SGCD	Stromal141_UP	ENSG00000170624	"sarcoglycan, delta (35kDa dystrophin-associated glycoprotein) [Source:HGNC Symbol;Acc:10807]"	5	q33.2	155297354	156194499							
COL3A1	Stromal141_UP	ENSG00000168542	"collagen, type III, alpha 1 [Source:HGNC Symbol;Acc:2201]"	2	q32.2	189839046	189877472							
F13A1	Stromal141_UP	ENSG00000124491	"coagulation factor XIII, A1 polypeptide [Source:HGNC Symbol;Acc:3531]"	6	p25.1	6144318	6321246							
OLFML1	Stromal141_UP	ENSG00000183801	olfactomedin-like 1 [Source:HGNC Symbol;Acc:24473]	11	p15.4	7506619	7532608							
IGSF6	Stromal141_UP	ENSG00000140749	"immunoglobulin superfamily, member 6 [Source:HGNC Symbol;Acc:5953]"	16	p12.2	21652609	21663981							
COMP	Stromal141_UP	ENSG00000105664	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:2227]	19	p13.11	18893583	18902123							
HGF	Stromal141_UP	ENSG00000019991	hepatocyte growth factor (hepapoietin A; scatter factor) [Source:HGNC Symbol;Acc:4893]	7	q21.11	81328322	81399754							
GIMAP5	Stromal141_UP	ENSG00000196329	"GTPase, IMAP family member 5 [Source:HGNC Symbol;Acc:18005]"	7	q36.1	150419341	150447121							
ABCA6	Stromal141_UP	ENSG00000154262	"ATP-binding cassette, sub-family A (ABC1), member 6 [Source:HGNC Symbol;Acc:36]"	17	q24.3	67074847	67138015							
ITGAM	Stromal141_UP	ENSG00000169896	"integrin, alpha M (complement component 3 receptor 3 subunit) [Source:HGNC Symbol;Acc:6149]"	16	p11.2	31271288	31344213							
MAF	Stromal141_UP	ENSG00000178573	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian) [Source:HGNC Symbol;Acc:6776]	16	q23.2	79627735	79634611							
ITM2A	Stromal141_UP	ENSG00000078596	integral membrane protein 2A [Source:HGNC Symbol;Acc:6173]	X	q21.1	78615881	78623164							
CLEC7A	Stromal141_UP	ENSG00000172243	"C-type lectin domain family 7, member A [Source:HGNC Symbol;Acc:14558]"	12	p13.2	10269376	10282857							
ASPN	Stromal141_UP	ENSG00000106819	asporin [Source:HGNC Symbol;Acc:14872]	9	q22.31	95218487	95244788							
LRRC15	Stromal141_UP	ENSG00000172061	leucine rich repeat containing 15 [Source:HGNC Symbol;Acc:20818]	3	q29	194075976	194090472							
ERG	Stromal141_UP	ENSG00000157554	v-ets erythroblastosis virus E26 oncogene homolog (avian) [Source:HGNC Symbol;Acc:3446]	21	q22.2	39751949	40033704							
CD86	Stromal141_UP	ENSG00000114013	CD86 molecule [Source:HGNC Symbol;Acc:1705]	3	q13.33	121774213	121839983							
TRAT1	Stromal141_UP	ENSG00000163519	T cell receptor associated transmembrane adaptor 1 [Source:HGNC Symbol;Acc:30698]	3	q13.13	108541545	108573852							
COL8A2	Stromal141_UP	ENSG00000171812	"collagen, type VIII, alpha 2 [Source:HGNC Symbol;Acc:2216]"	1	p34.3	36560837	36590821							
TCF21	Stromal141_UP	ENSG00000118526	transcription factor 21 [Source:HGNC Symbol;Acc:11632]	6	q23.2	134210276	134216691							
CD93	Stromal141_UP	ENSG00000125810	CD93 molecule [Source:HGNC Symbol;Acc:15855]	20	p11.21	23059986	23066977							
CD163	Stromal141_UP	ENSG00000177575	CD163 molecule [Source:HGNC Symbol;Acc:1631]	12	p13.31	7623409	7656489							
GREM1	Stromal141_UP	ENSG00000166923	gremlin 1 [Source:HGNC Symbol;Acc:2001]	15	q13.3	33010175	33026870							
LMOD1	Stromal141_UP	ENSG00000163431	leiomodin 1 (smooth muscle) [Source:HGNC Symbol;Acc:6647]	1	q32.1	201865580	201915716							
TLR2	Stromal141_UP	ENSG00000137462	toll-like receptor 2 [Source:HGNC Symbol;Acc:11848]	4	q31.3	154622652	154626851							
ZEB2	Stromal141_UP	ENSG00000169554	zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:14881]	2	q22.3	145121063	145282147							
C1QB	Stromal141_UP	ENSG00000173369	"complement component 1, q subcomponent, B chain [Source:HGNC Symbol;Acc:1242]"	1	p36.12	22979255	22988031							
KCNJ8	Stromal141_UP	ENSG00000121361	"potassium inwardly-rectifying channel, subfamily J, member 8 [Source:HGNC Symbol;Acc:6269]"	12	p12.1	21917889	21928515							
KDR	Stromal141_UP	ENSG00000128052	kinase insert domain receptor (a type III receptor tyrosine kinase) [Source:HGNC Symbol;Acc:6307]	4	q12	55944644	55991756							
CD33	Stromal141_UP	ENSG00000105383	CD33 molecule [Source:HGNC Symbol;Acc:1659]	19	q13.41	51728320	51743274							
RASGRP3	Stromal141_UP	ENSG00000152689	RAS guanyl releasing protein 3 (calcium and DAG-regulated) [Source:HGNC Symbol;Acc:14545]	2	p22.3	33661391	33789817							
TNFSF4	Stromal141_UP	ENSG00000117586	"tumor necrosis factor (ligand) superfamily, member 4 [Source:HGNC Symbol;Acc:11934]"	1	q25.1	173152873	173176452							
CCR1	Stromal141_UP	ENSG00000163823	chemokine (C-C motif) receptor 1 [Source:HGNC Symbol;Acc:1602]	3	p21.31	46243200	46249887							
CSF1R	Stromal141_UP	ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:2433]	5	q32	149432854	149492935							
BTK	Stromal141_UP	ENSG00000010671	Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:1133]	X	q22.1	100604435	100641183							
MFAP5	Stromal141_UP	ENSG00000197614	microfibrillar associated protein 5 [Source:HGNC Symbol;Acc:29673]	12	p13.31	8789942	8815484							
MXRA5	Stromal141_UP	ENSG00000101825	matrix-remodelling associated 5 [Source:HGNC Symbol;Acc:7539]	X	p22.33	3226606	3264684							
ISLR	Stromal141_UP	ENSG00000129009	immunoglobulin superfamily containing leucine-rich repeat [Source:HGNC Symbol;Acc:6133]	15	q24.1	74466012	74469213							
ARHGAP28	Stromal141_UP	ENSG00000088756	Rho GTPase activating protein 28 [Source:HGNC Symbol;Acc:25509]	18	p11.31	6729821	6915715							
ZFPM2	Stromal141_UP	ENSG00000169946	"zinc finger protein, multitype 2 [Source:HGNC Symbol;Acc:16700]"	8	q23.1	106330920	106816760							
TLR7	Stromal141_UP	ENSG00000196664	toll-like receptor 7 [Source:HGNC Symbol;Acc:15631]	X	p22.2	12885202	12908499							
ADAM12	Stromal141_UP	ENSG00000148848	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:190]	10	q26.2	127700950	128077024							
OLFML2B	Stromal141_UP	ENSG00000162745	olfactomedin-like 2B [Source:HGNC Symbol;Acc:24558]	1	q23.3	161952982	161993644							
ENPP2	Stromal141_UP	ENSG00000136960	ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:3357]	8	q24.12	120569326	120685693							
CILP	Stromal141_UP	ENSG00000138615	"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase [Source:HGNC Symbol;Acc:1980]"	15	q22.31	65488337	65503826							
SIGLEC1	Stromal141_UP	ENSG00000088827	"sialic acid binding Ig-like lectin 1, sialoadhesin [Source:HGNC Symbol;Acc:11127]"	20	p13	3667617	3687775							
SPON2	Stromal141_UP	ENSG00000159674	"spondin 2, extracellular matrix protein [Source:HGNC Symbol;Acc:11253]"	4	p16.3	1160720	1202750							
PLXNC1	Stromal141_UP	ENSG00000136040	plexin C1 [Source:HGNC Symbol;Acc:9106]	12	q22	94542499	94701451							
ADAMTS5	Stromal141_UP	ENSG00000154736	"ADAM metallopeptidase with thrombospondin type 1 motif, 5 [Source:HGNC Symbol;Acc:221]"	21	q21.3	28290231	28338832							
SAMSN1	Stromal141_UP	ENSG00000155307	"SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:10528]"	21	q11.2	15857549	15955723							
CH25H	Stromal141_UP	ENSG00000138135	cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:1907]	10	q23.31	90965694	90967071							
COL14A1	Stromal141_UP	ENSG00000187955	"collagen, type XIV, alpha 1 [Source:HGNC Symbol;Acc:2191]"	8	q24.12	121072019	121384275							
EMCN	Stromal141_UP	ENSG00000164035	endomucin [Source:HGNC Symbol;Acc:16041]	4	q24	101316498	101801283							
RGS4	Stromal141_UP	ENSG00000117152	regulator of G-protein signaling 4 [Source:HGNC Symbol;Acc:10000]	1	q23.3	163038565	163046592							
PCDH12	Stromal141_UP	ENSG00000113555	protocadherin 12 [Source:HGNC Symbol;Acc:8657]	5	q31.3	141323150	141349304							
RARRES2	Stromal141_UP	ENSG00000106538	retinoic acid receptor responder (tazarotene induced) 2 [Source:HGNC Symbol;Acc:9868]	7	q36.1	150035408	150038763							
CD248	Stromal141_UP	ENSG00000174807	"CD248 molecule, endosialin [Source:HGNC Symbol;Acc:18219]"	11	q13.2	66081958	66084515							
PDGFRB	Stromal141_UP	ENSG00000113721	"platelet-derived growth factor receptor, beta polypeptide [Source:HGNC Symbol;Acc:8804]"	5	q32	149493400	149535423							
C1QA	Stromal141_UP	ENSG00000173372	"complement component 1, q subcomponent, A chain [Source:HGNC Symbol;Acc:1241]"	1	p36.12	22962999	22966175							
COL5A3	Stromal141_UP	ENSG00000080573	"collagen, type V, alpha 3 [Source:HGNC Symbol;Acc:14864]"	19	p13.2	10070237	10121147							
IGF1	Stromal141_UP	ENSG00000017427	insulin-like growth factor 1 (somatomedin C) [Source:HGNC Symbol;Acc:5464]	12	q23.2	102789645	102874423							
SP140	Stromal141_UP	ENSG00000079263	SP140 nuclear body protein [Source:HGNC Symbol;Acc:17133]	2	q37.1	231090444	231223762							
TFEC	Stromal141_UP	ENSG00000105967	transcription factor EC [Source:HGNC Symbol;Acc:11754]	7	q31.2	115575202	115799950							
TNN	Stromal141_UP	ENSG00000120332	tenascin N [Source:HGNC Symbol;Acc:22942]	1	q25.1	175036994	175117202							
ATP8B4	Stromal141_UP	ENSG00000104043	"ATPase, class I, type 8B, member 4 [Source:HGNC Symbol;Acc:13536]"	15	q21.2	50150435	50411419							
ZNF423	Stromal141_UP	ENSG00000102935	zinc finger protein 423 [Source:HGNC Symbol;Acc:16762]	16	q12.1	49524522	49860918							
FRZB	Stromal141_UP	ENSG00000162998	frizzled-related protein [Source:HGNC Symbol;Acc:3959]	2	q32.1	183698002	183731890							
SERPING1	Stromal141_UP	ENSG00000149131	"serpin peptidase inhibitor, clade G (C1 inhibitor), member 1 [Source:HGNC Symbol;Acc:1228]"	11	q12.1	57364860	57382326							
ENPEP	Stromal141_UP	ENSG00000138792	glutamyl aminopeptidase (aminopeptidase A) [Source:HGNC Symbol;Acc:3355]	4	q25	111286889	111486441							
CD14	Stromal141_UP	ENSG00000170458	CD14 molecule [Source:HGNC Symbol;Acc:1628]	5	q31.3	140011313	140013286							
DIO2	Stromal141_UP	ENSG00000211448	"deiodinase, iodothyronine, type II [Source:HGNC Symbol;Acc:2884]"	14	q31.1	80663873	80854100							
FPR1	Stromal141_UP	ENSG00000171051	formyl peptide receptor 1 [Source:HGNC Symbol;Acc:3826]	19	q13.41	52249027	52255150							
IL18R1	Stromal141_UP	ENSG00000115604	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:5988]	2	q12.1	102927989	103015218							
HDC	Stromal141_UP	ENSG00000140287	histidine decarboxylase [Source:HGNC Symbol;Acc:4855]	15	q21.2	50534144	50558223							
TXNDC3	Stromal141_UP	ENSG00000086288	thioredoxin domain containing 3 (spermatozoa) [Source:HGNC Symbol;Acc:16473]	7	p14.1	37888199	37940003							
PDE2A	Stromal141_UP	ENSG00000186642	"phosphodiesterase 2A, cGMP-stimulated [Source:HGNC Symbol;Acc:8777]"	11	q13.4	72287185	72385635							
RSAD2	Stromal141_UP	ENSG00000134321	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:30908]	2	p25.2	7005937	7038370							
ITIH5	Stromal141_UP	ENSG00000123243	inter-alpha (globulin) inhibitor H5 [Source:HGNC Symbol;Acc:21449]	10	p14	7601232	7708961							
FASLG	Stromal141_UP	ENSG00000117560	"Fas ligand (TNF superfamily, member 6) [Source:HGNC Symbol;Acc:11936]"	1	q24.3	172628154	172636014							
MMP3	Stromal141_UP	ENSG00000149968	"matrix metallopeptidase 3 (stromelysin 1, progelatinase) [Source:HGNC Symbol;Acc:7173]"	11	q22.2	102706532	102714534							
NOX4	Stromal141_UP	ENSG00000086991	NADPH oxidase 4 [Source:HGNC Symbol;Acc:7891]	11	q14.3	89057524	89322779							
WNT2	Stromal141_UP	ENSG00000105989	wingless-type MMTV integration site family member 2 [Source:HGNC Symbol;Acc:12780]	7	q31.2	116916685	116963343							
LRRC32	Stromal141_UP	ENSG00000137507	leucine rich repeat containing 32 [Source:HGNC Symbol;Acc:4161]	11	q13.5	76368568	76381791							
CXCL9	Stromal141_UP	ENSG00000138755	chemokine (C-X-C motif) ligand 9 [Source:HGNC Symbol;Acc:7098]	4	q21.1	76922428	76928641							
ODZ4	Stromal141_UP	ENSG00000149256	"odz, odd Oz/ten-m homolog 4 (Drosophila) [Source:HGNC Symbol;Acc:29945]"	11	q14.1	78363876	79151992							
FBLN2	Stromal141_UP	ENSG00000163520	fibulin 2 [Source:HGNC Symbol;Acc:3601]	3	p25.1	13573824	13679922							
EGFL6	Stromal141_UP	ENSG00000198759	"EGF-like-domain, multiple 6 [Source:HGNC Symbol;Acc:3235]"	X	p22.2	13587724	13651694							
IL1B	Stromal141_UP	ENSG00000125538	"interleukin 1, beta [Source:HGNC Symbol;Acc:5992]"	2	q13	113587328	113594480							
SPON1	Stromal141_UP	ENSG00000152268	"spondin 1, extracellular matrix protein [Source:HGNC Symbol;Acc:11252]"	11	p15.2	13983914	14289646							
CD200	Stromal141_UP	ENSG00000091972	CD200 molecule [Source:HGNC Symbol;Acc:7203]	3	q13.2	112051915	112081659							
LCP2	Immune141_UP	ENSG00000043462	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa) [Source:HGNC Symbol;Acc:6529]	5	q35.1	169673241	169725231							
LSP1	Immune141_UP	ENSG00000130592	lymphocyte-specific protein 1 [Source:HGNC Symbol;Acc:6707]	11	p15.5	1874200	1913497							
FYB	Immune141_UP	ENSG00000082074	FYN binding protein [Source:HGNC Symbol;Acc:4036]	5	p13.1	39105338	39274630							
PLEK	Immune141_UP	ENSG00000115956	pleckstrin [Source:HGNC Symbol;Acc:9070]	2	p14	68592305	68624585							
HCK	Immune141_UP	ENSG00000101336	hemopoietic cell kinase [Source:HGNC Symbol;Acc:4840]	20	q11.21	30639991	30689659							
IL10RA	Immune141_UP	ENSG00000110324	"interleukin 10 receptor, alpha [Source:HGNC Symbol;Acc:5964]"	11	q23.3	117857063	117872196							
LILRB1	Immune141_UP	ENSG00000104972	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1 [Source:HGNC Symbol;Acc:6605]"	19	q13.42	55085346	55148979							
NCKAP1L	Immune141_UP	ENSG00000123338	NCK-associated protein 1-like [Source:HGNC Symbol;Acc:4862]	12	q13.13	54891495	54937726							
LAIR1	Immune141_UP	ENSG00000167613	leukocyte-associated immunoglobulin-like receptor 1 [Source:HGNC Symbol;Acc:6477]	19	q13.42	54865262	54882165							
NCF2	Immune141_UP	ENSG00000116701	neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:7661]	1	q25.3	183524698	183560011							
CYBB	Immune141_UP	ENSG00000165168	"cytochrome b-245, beta polypeptide [Source:HGNC Symbol;Acc:2578]"	X	p11.4	37639264	37672714							
PTPRC	Immune141_UP	ENSG00000081237	"protein tyrosine phosphatase, receptor type, C [Source:HGNC Symbol;Acc:9666]"	1	q31.3	198607801	198726545							
IL7R	Immune141_UP	ENSG00000168685	interleukin 7 receptor [Source:HGNC Symbol;Acc:6024]	5	p13.2	35852797	35879705							
LAPTM5	Immune141_UP	ENSG00000162511	lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:29612]	1	p35.2	31205316	31230667							
CD53	Immune141_UP	ENSG00000143119	CD53 molecule [Source:HGNC Symbol;Acc:1686]	1	p13.3	111415772	111442550							
EVI2B	Immune141_UP	ENSG00000185862	ecotropic viral integration site 2B [Source:HGNC Symbol;Acc:3500]	17	q11.2	29630790	29641123							
SLA	Immune141_UP	ENSG00000155926	Src-like-adaptor [Source:HGNC Symbol;Acc:10902]	8	q24.22	134048973	134115298							
ITGB2	Immune141_UP	ENSG00000160255	"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit) [Source:HGNC Symbol;Acc:6155]"	21	q22.3	46305868	46351904							
GIMAP4	Immune141_UP	ENSG00000133574	"GTPase, IMAP family member 4 [Source:HGNC Symbol;Acc:21872]"	7	q36.1	150264365	150271041							
MYO1F	Immune141_UP	ENSG00000142347	myosin IF [Source:HGNC Symbol;Acc:7600]	19	p13.2	8585689	8642461							
HCLS1	Immune141_UP	ENSG00000180353	hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:4844]	3	q13.33	121350246	121379774							
MNDA	Immune141_UP	ENSG00000163563	myeloid cell nuclear differentiation antigen [Source:HGNC Symbol;Acc:7183]	1	q23.1	158801107	158819296							
IL2RG	Immune141_UP	ENSG00000147168	"interleukin 2 receptor, gamma [Source:HGNC Symbol;Acc:6010]"	X	q13.1	70327254	70331958							
CD48	Immune141_UP	ENSG00000117091	CD48 molecule [Source:HGNC Symbol;Acc:1683]	1	q23.3	160648536	160681641							
AOAH	Immune141_UP	ENSG00000136250	acyloxyacyl hydrolase (neutrophil) [Source:HGNC Symbol;Acc:548]	7	p14.2	36552456	36764154							
CCL5	Immune141_UP	ENSG00000161570	chemokine (C-C motif) ligand 5 [Source:HGNC Symbol;Acc:10632]	17	q12	34198495	34207797							
LTB	Immune141_UP	ENSG00000231314	"lymphotoxin beta (TNF superfamily, member 3) [Source:HGNC Symbol;Acc:6711]"	HSCHR6_MHC_APD	0	31559653	31561620							
GMFG	Immune141_UP	ENSG00000130755	"glia maturation factor, gamma [Source:HGNC Symbol;Acc:4374]"	19	q13.2	39819010	39826726							
GIMAP6	Immune141_UP	ENSG00000133561	"GTPase, IMAP family member 6 [Source:HGNC Symbol;Acc:21918]"	7	q36.1	150322463	150329473							
GZMK	Immune141_UP	ENSG00000113088	granzyme K (granzyme 3; tryptase II) [Source:HGNC Symbol;Acc:4711]	5	q11.2	54320081	54330398							
LST1	Immune141_UP	ENSG00000235915	leukocyte specific transcript 1 [Source:HGNC Symbol;Acc:14189]	HSCHR6_MHC_APD	0	31565222	31568007							
GPR65	Immune141_UP	ENSG00000140030	G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:4517]	14	q31.3	88471468	88478419							
LILRB2	Immune141_UP	ENSG00000131042	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2 [Source:HGNC Symbol;Acc:6606]"	19	q13.42	54777675	54785039							
WIPF1	Immune141_UP	ENSG00000115935	"WAS/WASL interacting protein family, member 1 [Source:HGNC Symbol;Acc:12736]"	2	q31.1	175424300	175547644							
CD37	Immune141_UP	ENSG00000104894	CD37 molecule [Source:HGNC Symbol;Acc:1666]	19	q13.33	49838428	49843859							
BIN2	Immune141_UP	ENSG00000110934	bridging integrator 2 [Source:HGNC Symbol;Acc:1053]	12	q13.13	51674823	51718452							
FCER1G	Immune141_UP	ENSG00000158869	"Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide [Source:HGNC Symbol;Acc:3611]"	1	q23.3	161185024	161190489							
IKZF1	Immune141_UP	ENSG00000185811	IKAROS family zinc finger 1 (Ikaros) [Source:HGNC Symbol;Acc:13176]	7	p12.2	50343720	50472799							
